X,Y,Name,description,_id,amenity,ele,gnis_county_id,gnis_created,gnis_feature_id,gnis_state_id,religion,wheelchair,addr_city,addr_housenumber,addr_postcode,addr_state,addr_street,denomination,phone,website,gnis_edited,reformed,air_conditioning,email,fax,source,alt_name,service_times
-85.6649011,42.956806,Saint George Orthodox Church,,node/3245491192,place_of_worship,,,,,,christian,,Grand Rapids,334,49503,MI,Lagrave Avenue Southeast,orthodox,,,,,,,,,,
-85.6551335,43.0052905,Riverside Christian Reformed Church,,node/3305147981,place_of_worship,,,,,,christian,,Grand Rapids,602,49505,MI,Comstock Boulevard Northeast,,+1-616-361-0604,http://www.riversidecrc.org/,,,,,,,,
-85.6592723,43.0000735,Saint James Lutheran Church,,node/3305147982,place_of_worship,,,,,,christian,,Grand Rapids,2040,49505,MI,Oakwood Avenue Northeast,lutheran,+1-616-363-7718,https://www.stjamesgr.com/,,,,,,,,
-85.608324,43.0786966,Assumption BVM Catholic Church,,node/4202260513,place_of_worship,,,,,,christian,,Belmont,6369,49306,MI,Belmont Avenue Northeast,,,,,,,,,,,
-85.6071792,42.9781034,Grace Immanuel Reformed Baptist Church,For a fuller understanding of our church’s beliefs reference the church’s confession of faith (www.rblist.org/1689.pdf).  ,node/4213691358,place_of_worship,,,,,,christian,,Grand Rapids,860,49505,MI,Peachcrest Court Northeast,baptist,+1-616-742-1137,https://www.girbc.org/,,,,,,,,
-85.5308897,42.8131583,New Ground Church,,node/4345265577,place_of_worship,,,,,,christian,,,,,,,,,,,,,,,,,
-85.526724,43.0566041,West Cannon Baptist Church,,node/4701889292,place_of_worship,,,,,,christian,,Belmont,5760,49306,MI,Cannonsburg Road Northeast,baptist,+1-616-874-6740,https://www.westcannon.org/,,,,mail@westcannon.org,+1-616-874-2843,http://www.westcannon.org/,,
-85.6332105,42.9268529,Hope Reformed Church,,node/4823611467,place_of_worship,,,,,,christian,,Grand Rapids,2010,49507,MI,Kalamazoo Avenue Southeast,reformed,+1-616-241-3421,http://www.embracehopegr.org/,,,,,,,,
-85.4588712,42.8076836,Whitneyville Bible Church,,node/4917437208,place_of_worship,,,,,,christian,,,,,,,Non-denominational,,,,,,,,,,
-85.6683041,43.035863,Sovereign Grace United Reformed Church,,node/8855608569,place_of_worship,,,,,,christian,0,,62,,,Lamoreaux Drive Northeast,united_reformed,,https://sovereigngraceurc.org,,,,info@sgurc.org,,,Sovereign Grace URC,"Su 09:30, 17:30"
-85.5602286,43.0597286,Grace Community Church,,node/10262788389,place_of_worship,,,,,,christian,,Belmont,4435,49306,MI,Cannonsburg Road Northeast,,,,,,,,,,,
-85.7210838,42.8130955,Pathway Church,,node/10840520414,place_of_worship,,,,,,christian,,,,,,,,,,,,,,,,,
-85.264798,43.0562527,Smyrna Gospel Church,,node/11387793880,place_of_worship,,,,,,christian,,,,,,,,,,,,,,,,,
