name,ExtendedData/Data/0/value,ExtendedData/Data/0/_name,ExtendedData/Data/1/value,ExtendedData/Data/1/_name,ExtendedData/Data/2/value,ExtendedData/Data/2/_name,ExtendedData/Data/3/value,ExtendedData/Data/3/_name,ExtendedData/Data/4/value,ExtendedData/Data/4/_name,ExtendedData/Data/5/value,ExtendedData/Data/5/_name,ExtendedData/Data/6/value,ExtendedData/Data/6/_name,ExtendedData/Data/7/value,ExtendedData/Data/7/_name,longitude,latitude,ExtendedData/Data/8/value,ExtendedData/Data/8/_name,ExtendedData/Data/9/value,ExtendedData/Data/9/_name,ExtendedData/Data/10/value,ExtendedData/Data/10/_name,ExtendedData/Data/11/value,ExtendedData/Data/11/_name,ExtendedData/Data/12/value,ExtendedData/Data/12/_name,ExtendedData/Data/13/value,ExtendedData/Data/13/_name,ExtendedData/Data/14/value,ExtendedData/Data/14/_name,ExtendedData/Data/15/value,ExtendedData/Data/15/_name,ExtendedData/Data/16/value,ExtendedData/Data/16/_name,ExtendedData/Data/17/value,ExtendedData/Data/17/_name,ExtendedData/Data/18/value,ExtendedData/Data/18/_name,description
Thornapple School,node/353979898,@id,school,amenity,208,ele,081,gnis:county_id,04/14/1980,gnis:created,1614796,gnis:feature_id,26,gnis:state_id,Thornapple School,name,-85.4978009,42.9372519,,,,,,,,,,,,,,,,,,,,,,,
Union High School,node/353981538,@id,school,amenity,218,ele,081,gnis:county_id,04/14/1980,gnis:created,1615344,gnis:feature_id,26,gnis:state_id,Union High School,name,-85.7125464,42.9739219,Q7885739,wikidata,,,,,,,,,,,,,,,,,,,,,
Turner School,node/353981835,@id,school,amenity,186,ele,081,gnis:county_id,04/14/1980,gnis:created,1615189,gnis:feature_id,26,gnis:state_id,Turner School,name,-85.6786427,42.9808594,,,,,,,,,,,,,,,,,,,,,,,
Vandenberg School,node/353982259,@id,school,amenity,201,ele,081,gnis:county_id,04/14/1980,gnis:created,1615502,gnis:feature_id,26,gnis:state_id,Vandenberg School,name,-85.6622524,42.9553046,,,,,,,,,,,,,,,,,,,,,,,
Villa Maria School,node/353982424,@id,school,amenity,198,ele,081,gnis:county_id,04/14/1980,gnis:created,1615586,gnis:feature_id,26,gnis:state_id,Villa Maria School,name,-85.7003104,42.9839146,,,,,,,,,,,,,,,,,,,,,,,
Wellerwood School,node/353984175,@id,school,amenity,211,ele,081,gnis:county_id,04/14/1980,gnis:created,1615986,gnis:feature_id,26,gnis:state_id,Wellerwood School,name,-85.6500317,43.0186372,,,,,,,,,,,,,,,,,,,,,,,
Wilson School,node/353985727,@id,school,amenity,232,ele,081,gnis:county_id,04/14/1980,gnis:created,1616597,gnis:feature_id,26,gnis:state_id,Wilson School,name,-85.7739271,43.0591907,,,,,,,,,,,,,,,,,,,,,,,
Woodcliff School,node/353986531,@id,school,amenity,244,ele,081,gnis:county_id,04/14/1980,gnis:created,1616741,gnis:feature_id,26,gnis:state_id,Woodcliff School,name,-85.5966939,42.9416948,,,,,,,,,,,,,,,,,,,,,,,
Wyoming Park High School,node/353987241,@id,school,amenity,192,ele,081,gnis:county_id,04/14/1980,gnis:created,1616865,gnis:feature_id,26,gnis:state_id,Wyoming Park High School,name,-85.7178091,42.9169711,yes,wheelchair,,,,,,,,,,,,,,,,,,,,,
The Potter's House High School,node/353987254,@id,Wyoming,addr:city,2465,addr:housenumber,49519,addr:postcode,MI,addr:state,28th Street Southwest,addr:street,school,amenity,190,ele,-85.7266983,42.9150266,081,gnis:county_id,04/14/1980,gnis:created,1616866,gnis:feature_id,26,gnis:state_id,9-12,grades,The Potter's House High School,name,christian,religion,https://tphgr.org/,website,yes,wheelchair,,,,,
West Elementary,node/353995055,@id,school,amenity,189,ele,081,gnis:county_id,04/14/1980,gnis:created,1616172,gnis:feature_id,26,gnis:state_id,West Elementary,name,-85.7679665,42.8961383,no,wheelchair,,,,,,,,,,,,,,,,,,,,,
West Side School Number 1,node/354001950,@id,school,amenity,188,ele,081,gnis:county_id,04/14/1980,gnis:created,1623700,gnis:feature_id,26,gnis:state_id,West Side School Number 1,name,-85.6941991,42.984748,,,,,,,,,,,,,,,,,,,,,,,
Campus Elementary School (Grand Rapids Public School),node/1005808129,@id,school,amenity,Campus Elementary School (Grand Rapids Public School),name,,,,,,,,,,,-85.6357177,42.9497601,,,,,,,,,,,,,,,,,,,,,,,
,node/1766717743,@id,school,amenity,,,,,,,,,,,,,-85.6198834,42.8936579,,,,,,,,,,,,,,,,,,,,,,,
Goldfish Swim School,node/2715432428,@id,school,amenity,Goldfish Swim School,name,+1-616-259-0725,phone,,,,,,,,,-85.5088509,42.9118984,,,,,,,,,,,,,,,,,,,,,,,
Grand Rapids Learning Center,node/5333633375,@id,school,amenity,Grand Rapids Public Schools,description,Grand Rapids Learning Center,name,,,,,,,,,-85.6587998,42.9634902,,,,,,,,,,,,,,,,,,,,,,,Grand Rapids Public Schools
54th Street Academy,node/6746659957,@id,Grand Rapids,addr:city,173,addr:housenumber,49548,addr:postcode,MI,addr:state,54th Street Southwest,addr:street,school,amenity,3,isced:level,-85.6656956,42.8663858,54th Street Academy,name,Kelloggsville Public Schools,operator,+1 616 531 7433,phone,https://www.kvilleps.org/apps/pages/index.jsp?uREC_ID=336582&type=d&pREC_ID=743967,website,,,,,,,,,,,,,,,
Kenowa Hills Pathways High School,node/6748816821,@id,Grand Rapids,addr:city,3950,addr:housenumber,49544,addr:postcode,MI,addr:state,Hendershot Avenue Northwest,addr:street,school,amenity,3,isced:level,-85.7500595,43.0329955,Kenowa Hills Pathways High School,name,Kenowa Hills Public Schools,operator,+1 616 784 2511,phone,https://www.khps.org/pathways-high-school,website,,,,,,,,,,,,,,,
Crossroads Alternative High School,node/6749751103,@id,Grand Rapids,addr:city,28,addr:housenumber,49548,addr:postcode,MI,addr:state,60th Street Southeast,addr:street,school,amenity,2;3,isced:level,-85.662943,42.8539531,Crossroads Alternative High School,name,Kentwood Public Schools,operator,+1 616 261 6166,phone,https://www.kentwoodps.org/ourschools/high-schools/crossroadsalternativeeducation/,website,yes,wheelchair,,,,,,,,,,,,,
NexTech High School,node/6785639922,@id,Grand Rapids,addr:city,801,addr:housenumber,49504,addr:postcode,MI,addr:state,Broadway Avenue Northwest,addr:street,Suite 225,addr:unit,school,amenity,-85.680576,42.9780984,3,isced:level,NexTech High School,name,NexTech High School,operator,+1 616 458 4992,phone,https://www.nextechhigh.org/grand-rapids,website,,,,,,,,,,,,,
Northview Next Career Center,node/6788837623,@id,Grand Rapids,addr:city,3801,addr:housenumber,49525,addr:postcode,MI,addr:state,East Beltline Avenue Northeast,addr:street,school,amenity,3,isced:level,-85.5908279,43.0319049,Northview Next Career Center,name,Northview Public Schools,operator,+1 616 361 7396,phone,https://nvps.net/northviewnext/career-center/,website,,,,,,,,,,,,,,,
Northview Next Learning Center,node/6788837624,@id,Grand Rapids,addr:city,1624,addr:housenumber,49525,addr:postcode,MI,addr:state,Woodworth Street Northeast,addr:street,school,amenity,3,isced:level,-85.6285787,43.0353486,Northview Next Learning Center,name,Northview Public Schools,operator,+1 616 361 7396,phone,https://nvps.net/northviewnext/,website,,,,,,,,,,,,,,,
West Michigan Aviation Academy,node/6975246647,@id,Grand Rapids,addr:city,5363,addr:housenumber,49512,addr:postcode,MI,addr:state,44th Street Southeast,addr:street,school,amenity,West Michigan Aviation Academy,name,-85.5344723,42.8847299,Q22059803,wikidata,,,,,,,,,,,,,,,,,,,,,
Empire Beauty School,node/8272479025,@id,school,amenity,Empire Beauty School,name,,,,,,,,,,,-85.767748,42.9733196,,,,,,,,,,,,,,,,,,,,,,,
Northern Trails 5/6 school,node/8587806798,@id,school,amenity,Northern Trails 5/6 school,name,,,,,,,,,,,-85.5799246,42.9863626,,,,,,,,,,,,,,,,,,,,,,,
